         1         2         3         4         5         
12345678901234567890123456789012345678901234567890123456789
-----------------------------------------------------------
LABEL           |RA        |Dec        |Mag |C|PMRA |PMDEC|
-----------------------------------------------------------
SAO36042           1.2912500+45.22916666 6.70A1-0.012-0.018
SAO28569           1.2658333 -0.50305555 6.29G9+0.045-0.060
33 Psc             1.3337500 -5.70750000 4.61K0-0.009+0.089
86 Peg             1.4250000+13.39611111 5.51G5+0.045-0.012
SAO21085           1.5666666+58.43666666 5.96G5+0.263+0.030
SAO14963           1.5791666-49.07500000 5.70G1+0.565-0.038
10 Cas             1.6104166+64.19611111 5.59B9+0.008 0.000
SAO73743           1.6533333+29.02138888 6.13K0+0.380-0.182
SAO66053           1.7087500-23.10750000 6.18A7+0.100-0.045
SAO47090           1.8258333-17.38638888 6.19A6-0.018+0.036
SAO28595           1.9337500 -2.54888888 6.43B8+0.027-0.002
SAO66066           1.9450000-22.50888888 5.94A2+0.052-0.044
SAO92367           2.0145833-33.52944444 5.68K1-0.037 0.000
SAO28602           2.0504166 -2.44777777 6.07K2+0.009-0.003
21Alp And          2.0970833+29.09055555 2.06B8+0.136-0.163
SAO28604           2.0725000 -8.82388888 5.99G8-0.052-0.033
SAO53677           2.1708333+36.62666666 6.19F8-0.100-0.145
SAO47103           2.1391666-17.57750000 6.06M0 0.000-0.025
SAO73769           2.2175000+25.46277777 6.23K0+0.114+0.031
SAO4048            2.3341666+79.71472222 6.01A7+0.102-0.027
11Bet Cas          2.2945833+59.14972222 2.27F2+0.525-0.181
87 Peg             2.2600000+18.21194444 5.53G9+0.137-0.024
SAO31943           2.2600000-54.00194444 6.33G4+0.051+0.016
Kap1Scl            2.3375000-27.98777777 5.42F2+0.072-0.004
Eps Phe            2.3529166-45.74750000 3.88K0+0.124-0.181
34 Psc             2.5095833+11.14555555 5.51B9+0.041-0.003
22 And             2.5804166+46.07222222 5.03F2+0.008 0.000
SAO21162           2.6237500+57.16555555 6.74B7+0.023+0.006
SAO28621           2.5783333 -5.24861111 5.84K1+0.036-0.033
Gam3Oct            2.5087500-82.22388888 5.28G8-0.029-0.020
SAO47127           2.6783333-12.58000000 5.85K0+0.150-0.038
SAO55642           2.6608333-73.22444444 6.64F2+0.123+0.016
6 Cet              2.8162500-15.46805555 4.89F7-0.077-0.268
Kap2Scl            2.8933333-27.79972222 5.41K5+0.010+0.016
The Scl            2.9333333-35.13305555 5.25F4+0.173+0.119
SAO36148           2.9962500+48.15250000 6.16K4+0.058+0.017
SAO47144           3.0416666-17.93833333 5.25K5+0.056-0.031
SAO53725           3.2100000+37.69333333 6.73B2+0.028-0.012
88Gam Peg          3.3091666+15.18361111 2.83B2+0.003-0.012
SAO73823           3.3500000+26.98722222 6.30G0-0.008-0.047
23 And             3.3783333+41.03527777 5.72F0-0.123-0.148
SAO66130           3.4254166-26.02194444 5.94K5+0.026-0.069
SAO66131           3.4341666-26.28472222 6.31K5-0.020+0.012
SAO53744           3.5095833+33.20611111 6.25A1-0.006-0.018
89Chi Peg          3.6508333+20.20666666 4.80M2+0.093 0.000
SAO28655           3.6150000 -7.78055555 5.12M3+0.059+0.004
SAO58217           3.3308333-84.99416666 5.77M0+0.004+0.008
7 Cet              3.6600000-18.93277777 4.44M3-0.024-0.067
SAO73838           3.7337500+22.28416666 6.24A1+0.065-0.011
35 Psc             3.7450000 +8.82083333 5.79F0+0.097-0.028
SAO28660           3.7270833 -9.56972222 5.75B9+0.028-0.011
SAO53755           3.7791666+31.53583333 6.45K5+0.035-0.005
SAO73842           3.7941666+27.28305555 6.35A1+0.021-0.031
SAO92418           3.7425000-34.90444444 6.17K3+0.073-0.023
SAO4071            4.0583333+76.95083333 6.35B8+0.018-0.002
SAO36221           4.0900000+43.59472222 6.15A2+0.043-0.030
SAO92430           4.0370833-31.44638888 5.67K5+0.122-0.030
SAO55650           3.9800000-75.91138888 6.49G8-0.013+0.006
36 Psc             4.1420833 +8.24000000 6.11G8-0.020-0.019
SAO11084           4.2379166+61.53333333 5.74G8-0.001-0.001
SAO66167           4.1770833-20.21055555 6.47B8+0.012-0.014
SAO36236           4.2879166+47.94750000 5.89B7+0.008 0.000
24The And          4.2729166+38.68166666 4.61A2-0.050-0.019
SAO55652           4.2041666-78.78055555 6.77F3+0.077-0.043
SAO21273           4.4291666+51.43305555 6.14O9-0.005-0.004
SAO47205           4.3858333-19.05111111 6.45F4+0.015+0.003
SAO09119           4.4487500 +1.68888888 6.17K0+0.095+0.012
25Sig And          4.5820833+36.78527777 4.52A2-0.063-0.041
SAO91832           4.5716666+11.20583333 6.05K0-0.036-0.038
26 And             4.6754166+43.79111111 6.11B8+0.020-0.003
SAO53803           4.6595833+31.51722222 5.87A0+0.058-0.006
SAO28690           4.6741666 -8.05277777 6.46G0+0.413-0.139
SAO15047           4.6775000-43.23527777 6.33K2+0.056+0.012
8Iot Cet           4.8570833 -8.82388888 3.56K1-0.014-0.036
SAO36269           4.9233333+40.72972222 6.33K1-0.026-0.010
SAO36272           5.0216666+48.86527777 6.52A0+0.005-0.017
Zet Tuc            5.0179166-64.87472222 4.23F9+1.705+1.164
SAO53820           5.1016666+30.93583333 5.90B7+0.021+0.004
SAO53825           5.1895833+32.91138888 5.79K5-0.026-0.014
41 Psc             5.1495833 +8.19027777 5.37K3-0.002+0.008
SAO91858           5.2270833+10.97694444 6.56A0-0.046-0.028
27Rho And          5.2804166+37.96861111 5.18F5+0.060-0.040
Pi Tuc             5.1625000-69.62500000 5.51B9-0.007 0.000
Iot Scl            5.3800000-28.98166666 5.18G5+0.040-0.074
SAO66210           5.4429166-20.05777777 5.12M5+0.071-0.005
42 Psc             5.6062500+13.48250000 6.23K3+0.062+0.021
SAO55663           5.3691666-77.42694444 5.97K3+0.002-0.010
9 Cet              5.7158333-12.20944444 6.39G2+0.394+0.061
SAO92495           5.8025000-31.03611111 6.55B9+0.029-0.003
SAO53860           6.0083333+38.57722222 7.39S6-0.007-0.023
SAO21366           6.0650000+52.02000000 5.57B5+0.013-0.004
NOVA 1572          000000000 +0000000000                   
12 Cas             6.1979166+61.83111111 5.40B9+0.012-0.001
SAO28743           6.1237500 -2.21916666 6.07K1-0.033-0.044
47 Tuc             000000000 +0000000000                   
SAO21381           6.2766666+53.04694444 5.74B9+0.023-0.002
44 Psc             6.3508333 +1.93972222 5.77G5-0.013-0.015
Bet Hyi            6.4379166-77.25416666 2.80G2+2.215+0.324
Alp Phe            6.5708333-42.30611111 2.39K0+0.203-0.396
Kap Phe            6.5508333-43.68000000 3.94A7+0.109+0.029
10 Cet             6.6558333 -4.97222222 6.19G8+0.073-0.001
SAO66282           6.8112500-25.54722222 5.98G8+0.036-0.019
47 Psc             7.0120833+17.89305555 5.06M3+0.117+0.021
SAO36390           7.0570833+44.39444444 5.17A2+0.089-0.016
Eta Scl            6.9820833-33.00722222 4.81M4-0.019-0.052
48 Psc             7.0529166+16.44500000 6.06K5+0.019-0.015
SAO09224           7.0837500+10.18972222 6.04F6+0.046-0.207
SAO66296           7.0879166-20.33500000 6.43G0-0.116-0.114
SAO15103           7.1100000-39.91500000 5.43M0+0.130-0.036
SAO53928           7.2358333+36.90000000 6.26G5-0.011+0.003
SAO32055           7.1795833-50.53277777 6.26K0+0.150-0.002
SAO4130            7.7291666+77.01944444 6.21K0+0.337-0.038
SAO21457           7.5829166+59.97722222 5.94B9+0.017-0.012
28 And             7.5304166+29.75166666 5.23A7+0.041-0.054
SAO47307           7.4662500-14.86416666 6.14F2+0.144-0.032
SAO92567           7.4537500-32.11666666 6.57K4-0.004-0.054
12 Cet             7.5100000 -3.95722222 5.72M0+0.011-0.012
